Company Name,Model Name,Model Year,Kilometers,Engine Type,Engine Capacity,Assembly,Body Type,Transmission Type,Registration Status,Price,Mapped_colors
27,108,2018,28968,2,800,1,1,1,0,910000,0
28,53,2011,217261,2,1300,1,4,1,0,1450000,2
10,49,2007,91732,2,1800,1,4,0,0,1600000,2
28,181,2004,202777,2,1000,0,1,0,0,1580000,0
28,133,2006,202777,2,1800,0,4,0,0,1900000,0
10,48,2001,273588,2,1300,1,4,1,0,750000,0
27,29,2015,96995,2,800,1,5,1,0,650000,1
28,53,2019,12552,2,1600,1,4,0,0,3400000,0
27,23,2004,198683,2,1300,1,4,1,0,495000,0
27,58,2010,158681,2,1000,1,1,1,0,820000,0
27,58,2003,160934,2,1000,1,1,1,0,470000,0
27,58,2008,177027,2,1000,1,1,1,0,670000,1
28,132,2012,241401,2,4000,0,3,0,0,6500000,0
27,108,2018,22530,2,800,1,1,1,0,1000000,0
28,53,2012,107826,2,1300,1,4,1,0,1650000,2
27,58,2019,41842,2,1000,1,1,1,0,1850000,2
28,53,2011,173809,2,1300,1,4,1,0,1630000,2
28,181,2014,117482,2,1000,0,1,0,0,1900000,2
28,73,2017,51499,2,2700,1,3,0,0,7500000,2
10,179,2016,138403,2,1500,0,0,0,0,3950000,2
28,132,2012,129143,2,4000,0,3,0,1,15500000,2
10,49,2003,273588,2,1500,1,4,0,0,1070000,1
20,26,2015,144840,2,1600,1,4,0,0,8600000,0
12,151,2005,659831,2,1000,1,1,1,0,600000,2
28,181,2001,198683,2,1000,0,1,0,1,1350000,1
27,108,2010,119091,2,800,1,1,1,0,550000,2
28,53,2016,120700,2,1800,1,4,0,0,2750000,2
10,49,2006,198683,2,1600,1,4,0,0,1300000,2
21,98,2012,179039,2,1500,0,4,0,0,1250000,0
28,132,2003,249448,2,3378,0,3,0,0,5000000,2
28,53,2011,273588,2,1300,1,4,1,0,1680000,2
27,168,2016,80467,2,1300,1,1,1,0,1610000,2
27,58,2005,104607,2,1000,1,1,1,0,680000,2
28,53,2017,80467,2,1300,1,4,1,0,2400000,2
28,181,2017,101762,2,1000,0,1,0,1,2500000,0
28,53,2007,70811,2,1300,1,4,1,0,1700000,2
28,181,2015,101388,2,1300,0,1,0,0,2200000,1
10,49,2017,7563,2,1800,1,4,0,0,3550000,2
7,110,2017,54941,2,660,0,1,0,1,1950000,0
20,26,2016,59545,2,1600,1,4,0,0,11000000,2
28,39,2019,28968,2,2500,1,4,0,0,12500000,0
28,132,2013,134648,2,2700,0,3,0,0,12600000,0
28,167,2005,162083,2,2700,0,3,0,0,4500000,2
10,48,2015,90123,2,1300,1,4,0,0,2400000,3
10,49,2017,41842,2,1800,1,4,0,0,3200000,2
27,168,2017,54717,2,1300,1,1,1,0,1575000,3
28,73,2017,58741,2,2700,1,3,0,0,7500000,0
10,49,1998,394825,2,1500,1,4,1,0,790000,3
1,4,2016,158681,2,1400,0,4,0,0,7200000,2
10,49,2004,223698,2,1600,1,4,0,0,1090000,2
10,9,2002,171395,2,2400,0,4,0,0,1725000,0
27,14,2019,16093,2,660,1,1,1,1,1385000,0
28,53,2018,33796,2,1800,1,4,0,0,3375000,2
28,132,1992,241401,0,3200,0,3,0,0,2100000,2
27,168,2015,217261,2,1300,1,1,1,0,1500000,0
10,179,2015,112654,1,1500,0,0,0,0,3400000,0
